date,open,high,low,close,Adjusted_close,volume,dividend amount
2002-08-31,39.77,46.5,36.31,42.72,22.5986,107538300.0,0.0
2002-07-31,43.59,44.09,33.5,40.35,21.3449,146020400.0,0.23
2002-06-30,45.4,45.94,39.8,43.08,22.6632,107100800.0,0.0
2002-05-31,47.5,50.68,43.92,45.46,23.9153,115530600.0,0.0
2002-04-30,57.06,57.29,46.55,47.72,25.1042,122271000.0,0.23
2002-03-31,49.2,58.27,48.5,57.31,30.0252,98788800.0,0.0
2002-02-28,54.12,54.2,45.9,49.12,25.7344,116867300.0,0.0
2002-01-31,55.92,60.02,50.2,55.0,28.8149,106193700.0,0.23
2001-12-31,53.55,57.65,51.35,55.94,29.1924,86601200.0,0.0
2001-11-30,48.95,59.6,48.06,55.5,28.9628,90346900.0,0.0
2001-10-31,45.5,54.35,45.15,48.92,25.529,119185800.0,0.23
2001-09-30,53.77,54.4,35.75,46.35,24.0769,104867300.0,0.0
2001-08-31,60.5,63.85,50.1,53.35,27.7131,92439700.0,0.0
2001-07-31,64.05,64.83,55.37,59.82,31.074,80901200.0,0.23
2001-06-30,64.8,66.4,55.82,64.23,33.2447,98334400.0,0.0
2001-05-31,62.0,75.23,60.77,65.01,33.6485,109171300.0,0.0
2001-04-30,53.15,68.85,44.1,62.79,32.4994,144320400.0,0.23
2001-03-31,62.5,68.85,49.7,53.5,27.551,172595400.0,0.0
2001-02-28,85.05,90.49,63.5,65.13,33.5401,119104600.0,0.0
2001-01-31,78.25,89.19,69.0,84.8,43.6696,136549800.0,0.23
2000-12-31,63.25,80.75,61.62,79.25,40.7027,106375100.0,0.0
2000-11-30,77.62,84.25,60.62,63.38,32.5519,94156800.0,0.0
2000-10-31,90.12,93.5,68.25,80.31,41.2471,118919000.0,0.2
2000-09-30,107.56,110.0,85.5,91.44,46.8597,78678100.0,0.0
2000-08-31,92.12,108.5,90.44,107.58,55.1309,61403500.0,0.0
2000-07-31,83.75,97.0,83.5,91.25,46.7624,55496700.0,0.2
2000-06-30,72.0,87.94,70.12,83.25,42.5647,67563400.0,0.0
2000-05-31,76.5,82.62,62.38,71.5,36.557,81575700.0,0.0
2000-04-30,83.44,90.19,64.75,76.75,39.2413,91956700.0,0.2
2000-03-31,71.88,97.38,71.5,82.88,42.2695,96506300.0,0.0
2000-02-29,65.62,71.19,60.12,70.44,35.925,63990900.0,0.0
2000-01-31,137.25,138.75,62.5,66.25,33.7881,48235050.0,0.4
1999-12-31,119.5,142.88,119.25,142.75,36.2907,37401500.0,0.0
